ano,capital,Instituição,UF,População,Conta,codigo_conta,nome_conta,valor_empenhado,valor_pago,diferenca_empenhado_pago,taxa_execucao_percentual,valor_pago_per_capita,valor_empenhado_per_capita
2024.0,Belém,Prefeitura Municipal de Belém - PA,PA,1367336.0,18 - Gestão Ambiental,18,Gestão Ambiental,20730678.7,20468774.9,261903.80000000075,98.73663663505623,14.969820804835095,15.161363922254662
2024.0,Belém,Prefeitura Municipal de Belém - PA,PA,1367336.0,19 - Ciência e Tecnologia,19,Ciência e Tecnologia,31696129.76,31696129.76,0.0,100.0,23.180937063018895,23.180937063018895
2024.0,Belém,Prefeitura Municipal de Belém - PA,PA,1367336.0,23 - Comércio e Serviços,23,Comércio e Serviços,36813569.82,36158409.75,655160.0700000003,98.22032996744568,26.44442167104501,26.92357242111668
2024.0,Belém,Prefeitura Municipal de Belém - PA,PA,1367336.0,24 - Comunicações,24,Comunicações,13314867.63,13313729.48,1138.1500000003725,99.9914520366884,9.73698453050311,9.7378169155204
2024.0,Belém,Prefeitura Municipal de Belém - PA,PA,1367336.0,26 - Transporte,26,Transporte,94874753.12,86033117.42,8841635.700000003,90.68072863513345,62.92024595271389,69.38656856836944
2024.0,Belém,Prefeitura Municipal de Belém - PA,PA,1367336.0,27 - Desporto e Lazer,27,Desporto e Lazer,8234689.72,7809759.78,424929.9399999995,94.8397577267793,5.711661054780976,6.022433198570066
2024.0,Belém,Prefeitura Municipal de Belém - PA,PA,1367336.0,28 - Encargos Especiais,28,Encargos Especiais,856781395.37,856766204.02,15191.350000023842,99.99822692811934,626.5952216719226,626.6063318525951
2024.0,Boa Vista,Prefeitura Municipal de Boa Vista - RR,RR,408157.0,01 - Legislativa,01,Legislativa,69581879.51,68432061.55,1149817.9600000083,98.34753247814359,167.66112439575946,170.47822164020218
2024.0,Boa Vista,Prefeitura Municipal de Boa Vista - RR,RR,408157.0,04 - Administração,04,Administração,228397638.07,221544319.18,6853318.889999986,96.99939152264807,542.7919138468776,559.582802867524
2024.0,Boa Vista,Prefeitura Municipal de Boa Vista - RR,RR,408157.0,06 - Segurança Pública,06,Segurança Pública,82471022.73,81642629.48,828393.25,98.99553416148112,200.02751264831917,202.05710726509653
